118;Indiana Jones y la última cruzada;1989;8.2;659,893;T;2h 7min;Action, Adventure;8.4;8.2;8.3;8.1
119;Incendios;2010;8.3;133,581;12;2h 11min;Drama, Mystery, War;8.2;8.4;8.2;8.1
120;Up;2009;8.2;886,509;T;1h 36min;Animation, Adventure, Comedy;8.3;8.3;8.2;8.1
121;L.A. Confidential;1997;8.2;509,870;18;2h 18min;Crime, Drama, Mystery;8.6;8.3;8.2;8.2
122;Los caballeros de la mesa cuadrada y sus locos seguidores;1975;8.2;479,994;T;1h 31min;Adventure, Comedy, Fantasy;8.5;8.2;8.2;8.3
123;Heat;1995;8.2;545,914;13;2h 50min;Crime, Drama, Thriller;8.3;8.2;8.3;8.1
124;Rashomon;1950;8.2;142,495;13;1h 28min;Crime, Drama, Mystery;8.4;8.2;8.2;8.3
125;Jungla de cristal;1988;8.2;751,208;12;2h 12min;Action, Thriller;8.4;8.1;8.2;8.2
126;Yojimbo;1961;8.2;103,302;13;1h 50min;Action, Drama, Thriller;8.5;8.2;8.3;8.3
127;Batman Begins;2005;8.2;1,246,096;12;2h 20min;Action, Adventure;8.2;8.3;8.2;8.0
128;Sin perdón;1992;8.2;356,116;18;2h 10min;Drama, Western;8.3;8.1;8.2;8.3
129;El hundimiento;2004;8.2;316,671;18;2h 36min;Biography, Drama, History;8.3;8.2;8.2;8.3
130;Green Book;2018;8.2;298,828;12;2h 10min;Biography, Comedy, Drama;8.3;8.3;8.1;8.2
131;Children of Heaven;1997;8.3;58,477;13;1h 29min;Drama, Family, Sport;8.0;8.4;8.3;7.9
132;Masacre (ven y mira);1985;8.3;48,480;NC;2h 22min;Drama, War;8.4;8.5;8.2;8.1
133;Con faldas y a lo loco;1959;8.2;230,862;A;2h 1min;Comedy, Music, Romance;8.5;8.3;8.1;8.3
134;El castillo ambulante;2004;8.2;298,679;7;1h 59min;Animation, Adventure, Family;8.2;8.3;8.1;7.9
135;Ran;1985;8.2;104,312;NC;2h 42min;Action, Drama;8.2;8.3;8.2;8.2
136;La gran evasión;1963;8.2;213,262;18;2h 52min;Adventure, Drama, History;8.5;8.2;8.2;8.3
137;Eva al desnudo;1950;8.2;114,146;13;2h 18min;Drama;7.8;8.2;8.1;8.4
138;Una mente maravillosa;2001;8.2;804,568;T;2h 15min;Biography, Drama;8.4;8.4;8.1;7.8
139;Casino;1995;8.2;436,730;18;2h 58min;Crime, Drama;8.5;8.3;8.2;7.9
140;Mi vecino Totoro;1988;8.2;259,897;T;1h 26min;Animation, Family, Fantasy;8.4;8.2;8.2;8.1
141;El laberinto del fauno;2006;8.2;592,620;18;1h 58min;Drama, Fantasy, War;8.5;8.2;8.2;8.1
142;Toro salvaje;1980;8.2;303,975;13;2h 9min;Biography, Drama, Sport;8.6;8.2;8.1;8.1
143;El secreto de sus ojos;2009;8.2;180,817;7;2h 9min;Drama, Mystery, Romance;7.7;8.3;8.2;8.1
